#,id,content_type_id,codename,name
1,1,1,add_logentry,Can add log entry
2,2,1,change_logentry,Can change log entry
3,3,1,delete_logentry,Can delete log entry
4,4,1,view_logentry,Can view log entry
5,5,2,add_permission,Can add permission
6,6,2,change_permission,Can change permission
7,7,2,delete_permission,Can delete permission
8,8,2,view_permission,Can view permission
9,9,3,add_group,Can add group
10,10,3,change_group,Can change group
11,11,3,delete_group,Can delete group
12,12,3,view_group,Can view group
13,13,4,add_user,Can add user
14,14,4,change_user,Can change user
15,15,4,delete_user,Can delete user
16,16,4,view_user,Can view user
17,17,5,add_contenttype,Can add content type
18,18,5,change_contenttype,Can change content type
19,19,5,delete_contenttype,Can delete content type
20,20,5,view_contenttype,Can view content type
21,21,6,add_session,Can add session
22,22,6,change_session,Can change session
23,23,6,delete_session,Can delete session
24,24,6,view_session,Can view session
25,25,7,add_site,Can add site
26,26,7,change_site,Can change site
27,27,7,delete_site,Can delete site
28,28,7,view_site,Can view site
29,29,8,add_socialapp,Can add social application
30,30,8,change_socialapp,Can change social application
31,31,8,delete_socialapp,Can delete social application
32,32,8,view_socialapp,Can view social application
33,33,9,add_socialaccount,Can add social account
34,34,9,change_socialaccount,Can change social account
35,35,9,delete_socialaccount,Can delete social account
36,36,9,view_socialaccount,Can view social account
37,37,10,add_socialtoken,Can add social application token
38,38,10,change_socialtoken,Can change social application token
39,39,10,delete_socialtoken,Can delete social application token
40,40,10,view_socialtoken,Can view social application token
41,41,11,add_emailaddress,Can add email address
42,42,11,change_emailaddress,Can change email address
43,43,11,delete_emailaddress,Can delete email address
44,44,11,view_emailaddress,Can view email address
45,45,12,add_emailconfirmation,Can add email confirmation
46,46,12,change_emailconfirmation,Can change email confirmation
47,47,12,delete_emailconfirmation,Can delete email confirmation
48,48,12,view_emailconfirmation,Can view email confirmation
49,49,13,add_token,Can add Token
50,50,13,change_token,Can change Token
51,51,13,delete_token,Can delete Token
52,52,13,view_token,Can view Token
53,53,14,add_tokenproxy,Can add token
54,54,14,change_tokenproxy,Can change token
55,55,14,delete_tokenproxy,Can delete token
56,56,14,view_tokenproxy,Can view token
57,57,15,add_account,Can add 계좌
58,58,15,change_account,Can change 계좌
59,59,15,delete_account,Can delete 계좌
60,60,15,view_account,Can view 계좌
61,61,16,add_assetgroup,Can add 자산 그룹 정보
62,62,16,change_assetgroup,Can change 자산 그룹 정보
63,63,16,delete_assetgroup,Can delete 자산 그룹 정보
64,64,16,view_assetgroup,Can view 자산 그룹 정보
65,65,17,add_transfer,Can add 입금 거래 정보
66,66,17,change_transfer,Can change 입금 거래 정보
67,67,17,delete_transfer,Can delete 입금 거래 정보
68,68,17,view_transfer,Can view 입금 거래 정보
69,69,18,add_asset,Can add 계좌 자산 정보
70,70,18,change_asset,Can change 계좌 자산 정보
71,71,18,delete_asset,Can delete 계좌 자산 정보
72,72,18,view_asset,Can view 계좌 자산 정보
